ip.src;ip.dst;ip.proto;eth.type;frame.len;frame.time;tcp.flags;tcp.dstport;tcp.srcport;udp.dstport;udp.srcport;tcp.analysis.lost_segment
;;;;54;Jul  2, 1998 15:40:00.275653000;;;;;;
172.16.117.52;209.1.224.15;6;0x0800;60;Jul  2, 1998 15:40:00.809192000;0x0002;80;14934;;;
209.1.224.15;172.16.117.52;6;0x0800;60;Jul  2, 1998 15:40:00.810534000;0x0014;14934;80;;;
;;;;54;Jul  2, 1998 15:40:01.774603000;;;;;;
192.168.1.90;172.16.112.20;17;0x0800;90;Jul  2, 1998 15:40:01.942385000;;;;123;123;
172.16.112.20;192.168.1.90;17;0x0800;90;Jul  2, 1998 15:40:01.943879000;;;;123;123;
;;;;54;Jul  2, 1998 15:40:03.274862000;;;;;;
194.27.251.21;192.168.1.1;17;0x0800;147;Jul  2, 1998 15:40:04.140890000;;;;161;2008;
192.168.1.1;194.27.251.21;17;0x0800;188;Jul  2, 1998 15:40:04.178957000;;;;2008;161;
;;;;54;Jul  2, 1998 15:40:04.775241000;;;;;;
;;;;54;Jul  2, 1998 15:40:05.774141000;;;;;;
172.16.114.168;192.5.41.239;6;0x0800;60;Jul  2, 1998 15:40:06.212273000;0x0002;37;14935;;;
192.5.41.239;172.16.114.168;6;0x0800;60;Jul  2, 1998 15:40:06.212643000;0x0012;14935;37;;;
172.16.114.168;192.5.41.239;6;0x0800;60;Jul  2, 1998 15:40:06.213075000;0x0010;37;14935;;;
192.5.41.239;172.16.114.168;6;0x0800;60;Jul  2, 1998 15:40:06.257708000;0x0018;14935;37;;;
192.5.41.239;172.16.114.168;6;0x0800;60;Jul  2, 1998 15:40:06.257862000;0x0011;14935;37;;;
172.16.114.168;192.5.41.239;6;0x0800;60;Jul  2, 1998 15:40:06.258244000;0x0010;37;14935;;;
172.16.114.168;192.5.41.239;6;0x0800;60;Jul  2, 1998 15:40:06.258749000;0x0011;37;14935;;;
192.5.41.239;172.16.114.168;6;0x0800;60;Jul  2, 1998 15:40:06.258917000;0x0010;14935;37;;;
172.16.116.201;199.95.74.90;6;0x0800;60;Jul  2, 1998 15:40:06.613259000;0x0002;80;14936;;;
199.95.74.90;172.16.116.201;6;0x0800;60;Jul  2, 1998 15:40:06.614508000;0x0014;14936;80;;;
;;;;54;Jul  2, 1998 15:40:07.774777000;;;;;;
;;;;54;Jul  2, 1998 15:40:08.775270000;;;;;;
;;;0x9000;118;Jul  2, 1998 15:40:09.206216000;;;;;;
194.27.251.21;192.168.1.1;17;0x0800;147;Jul  2, 1998 15:40:09.220605000;;;;161;2010;
192.168.1.1;194.27.251.21;17;0x0800;188;Jul  2, 1998 15:40:09.575287000;;;;2010;161;
;;;;54;Jul  2, 1998 15:40:10.775158000;;;;;;
;;;;54;Jul  2, 1998 15:40:11.774545000;;;;;;
;;;;54;Jul  2, 1998 15:40:12.774226000;;;;;;
;;;;54;Jul  2, 1998 15:40:13.774604000;;;;;;
194.27.251.21;192.168.1.1;17;0x0800;147;Jul  2, 1998 15:40:14.611128000;;;;161;2012;
192.168.1.1;194.27.251.21;17;0x0800;188;Jul  2, 1998 15:40:14.649272000;;;;2012;161;
;;;;54;Jul  2, 1998 15:40:15.276864000;;;;;;
;;;;54;Jul  2, 1998 15:40:16.274713000;;;;;;
195.73.151.50;172.16.113.204;6;0x0800;60;Jul  2, 1998 15:40:16.489035000;0x0002;25;10297;;;
172.16.113.204;195.73.151.50;6;0x0800;60;Jul  2, 1998 15:40:16.489579000;0x0012;10297;25;;;
195.73.151.50;172.16.113.204;6;0x0800;60;Jul  2, 1998 15:40:16.489792000;0x0010;25;10297;;;
172.16.112.20;192.168.1.20;17;0x0800;86;Jul  2, 1998 15:40:16.503260000;;;;53;53;
