ip.src;ip.dst;ip.proto;eth.type;frame.len;frame.time;tcp.flags;tcp.dstport;tcp.srcport;udp.dstport;udp.srcport;tcp.analysis.lost_segment
;;;;54;Mar  2, 1999 14:00:02.509711000;;;;;;
;;;;54;Mar  2, 1999 14:00:03.508994000;;;;;;
;;;0x9000;60;Mar  2, 1999 14:00:03.511778000;;;;;;
;;;;54;Mar  2, 1999 14:00:05.009688000;;;;;;
;;;;54;Mar  2, 1999 14:00:06.008707000;;;;;;
;;;;54;Mar  2, 1999 14:00:07.008690000;;;;;;
;;;;54;Mar  2, 1999 14:00:08.009981000;;;;;;
;;;;54;Mar  2, 1999 14:00:09.009060000;;;;;;
;;;;54;Mar  2, 1999 14:00:10.008842000;;;;;;
;;;;54;Mar  2, 1999 14:00:11.009483000;;;;;;
;;;;54;Mar  2, 1999 14:00:12.011100000;;;;;;
172.16.112.20;192.168.1.20;17;0x0800;77;Mar  2, 1999 14:00:12.505876000;;;;53;53;
192.168.1.20;172.16.112.20;17;0x0800;133;Mar  2, 1999 14:00:12.509677000;;;;53;53;
172.16.112.20;192.168.1.10;17;0x0800;77;Mar  2, 1999 14:00:12.510912000;;;;53;53;
192.168.1.10;172.16.112.20;17;0x0800;133;Mar  2, 1999 14:00:12.511921000;;;;53;53;
172.16.113.105;195.73.151.50;6;0x0800;60;Mar  2, 1999 14:00:12.536008000;0x0002;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;60;Mar  2, 1999 14:00:12.536350000;0x0012;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;60;Mar  2, 1999 14:00:12.537137000;0x0010;25;1024;;;
192.168.1.10;172.16.112.20;17;0x0800;87;Mar  2, 1999 14:00:12.710287000;;;;53;53;
172.16.112.20;192.168.1.10;17;0x0800;177;Mar  2, 1999 14:00:12.711585000;;;;53;53;
192.168.1.10;172.16.112.20;17;0x0800;80;Mar  2, 1999 14:00:12.713101000;;;;53;53;
172.16.112.20;192.168.1.10;17;0x0800;145;Mar  2, 1999 14:00:12.714133000;;;;53;53;
195.73.151.50;172.16.113.105;6;0x0800;138;Mar  2, 1999 14:00:12.798806000;0x0018;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;60;Mar  2, 1999 14:00:12.818295000;0x0010;25;1024;;;
172.16.113.105;195.73.151.50;6;0x0800;81;Mar  2, 1999 14:00:12.833029000;0x0018;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;80;Mar  2, 1999 14:00:12.833994000;0x0018;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;81;Mar  2, 1999 14:00:12.835003000;0x0018;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;103;Mar  2, 1999 14:00:12.835256000;0x0018;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;97;Mar  2, 1999 14:00:12.836116000;0x0018;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;104;Mar  2, 1999 14:00:12.836367000;0x0018;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;89;Mar  2, 1999 14:00:12.837257000;0x0018;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;88;Mar  2, 1999 14:00:12.837485000;0x0018;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;60;Mar  2, 1999 14:00:12.838323000;0x0018;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;104;Mar  2, 1999 14:00:12.839416000;0x0018;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;617;Mar  2, 1999 14:00:12.841128000;0x0018;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;73;Mar  2, 1999 14:00:12.842595000;0x0018;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;60;Mar  2, 1999 14:00:12.843366000;0x0018;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;78;Mar  2, 1999 14:00:12.843593000;0x0018;1024;25;;;
195.73.151.50;172.16.113.105;6;0x0800;60;Mar  2, 1999 14:00:12.844156000;0x0011;1024;25;;;
172.16.113.105;195.73.151.50;6;0x0800;60;Mar  2, 1999 14:00:12.844810000;0x0010;25;1024;;;
172.16.113.105;195.73.151.50;6;0x0800;60;Mar  2, 1999 14:00:12.846376000;0x0011;25;1024;;;
195.73.151.50;172.16.113.105;6;0x0800;60;Mar  2, 1999 14:00:12.846620000;0x0010;1024;25;;;
;;;;54;Mar  2, 1999 14:00:13.510371000;;;;;;
;;;0x9000;60;Mar  2, 1999 14:00:13.523968000;;;;;;
;;;;54;Mar  2, 1999 14:00:15.009530000;;;;;;
;;;;54;Mar  2, 1999 14:00:16.010589000;;;;;;
;;;;54;Mar  2, 1999 14:00:17.009207000;;;;;;
;;;;54;Mar  2, 1999 14:00:18.010051000;;;;;;
;;;;54;Mar  2, 1999 14:00:19.009211000;;;;;;
192.168.1.10;172.16.112.10;17;0x0800;90;Mar  2, 1999 14:00:19.798524000;;;;123;123;
;;;;54;Mar  2, 1999 14:00:20.509933000;;;;;;
;;;;54;Mar  2, 1999 14:00:21.509975000;;;;;;
;;;;54;Mar  2, 1999 14:00:22.509270000;;;;;;
;;;;54;Mar  2, 1999 14:00:23.510001000;;;;;;
;;;0x9000;60;Mar  2, 1999 14:00:23.523259000;;;;;;
;;;;54;Mar  2, 1999 14:00:25.009225000;;;;;;
;;;;54;Mar  2, 1999 14:00:26.010092000;;;;;;
;;;;54;Mar  2, 1999 14:00:27.012586000;;;;;;
;;;;54;Mar  2, 1999 14:00:28.009803000;;;;;;
;;;;54;Mar  2, 1999 14:00:29.009813000;;;;;;
172.16.112.20;192.168.1.20;17;0x0800;75;Mar  2, 1999 14:00:29.255230000;;;;53;53;
192.168.1.20;172.16.112.20;17;0x0800;135;Mar  2, 1999 14:00:29.258968000;;;;53;53;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.281341000;0x0002;80;1055;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.286389000;0x0012;1055;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.288821000;0x0010;80;1055;;;
172.16.112.100;208.209.46.36;6;0x0800;357;Mar  2, 1999 14:00:29.433832000;0x0018;80;1055;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.456015000;0x0010;1055;80;;;
208.209.46.36;172.16.112.100;6;0x0800;581;Mar  2, 1999 14:00:29.487449000;0x0018;1055;80;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.487541000;0x0011;1055;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.488555000;0x0010;80;1055;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.545364000;0x0002;80;1056;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.549179000;0x0012;1056;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.549805000;0x0010;80;1056;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.561807000;0x0002;80;1057;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.565551000;0x0012;1057;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.566178000;0x0010;80;1057;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.574939000;0x0011;80;1055;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.577981000;0x0010;1055;80;;;
172.16.112.100;208.209.46.36;6;0x0800;397;Mar  2, 1999 14:00:29.581121000;0x0018;80;1056;;;
172.16.112.100;208.209.46.36;6;0x0800;387;Mar  2, 1999 14:00:29.584238000;0x0018;80;1057;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.596007000;0x0010;1056;80;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.606002000;0x0010;1057;80;;;
208.209.46.36;172.16.112.100;6;0x0800;1514;Mar  2, 1999 14:00:29.625972000;0x0010;1056;80;;;
208.209.46.36;172.16.112.100;6;0x0800;1514;Mar  2, 1999 14:00:29.627200000;0x0010;1056;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.629023000;0x0010;80;1056;;;
208.209.46.36;172.16.112.100;6;0x0800;1514;Mar  2, 1999 14:00:29.633448000;0x0018;1056;80;;;
208.209.46.36;172.16.112.100;6;0x0800;163;Mar  2, 1999 14:00:29.633719000;0x0018;1056;80;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.633824000;0x0011;1056;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.635568000;0x0010;80;1056;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.635727000;0x0010;80;1056;;;
208.209.46.36;172.16.112.100;6;0x0800;224;Mar  2, 1999 14:00:29.646199000;0x0018;1057;80;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.646308000;0x0011;1057;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.647061000;0x0010;80;1057;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.674423000;0x0002;80;1058;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.678248000;0x0012;1058;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.678905000;0x0010;80;1058;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.713251000;0x0002;80;1059;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.717006000;0x0012;1059;80;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.717610000;0x0010;80;1059;;;
172.16.112.100;208.209.46.36;6;0x0800;60;Mar  2, 1999 14:00:29.741133000;0x0002;80;1060;;;
208.209.46.36;172.16.112.100;6;0x0800;60;Mar  2, 1999 14:00:29.744848000;0x0012;1060;80;;;
