ip.src;ip.dst;ip.proto;eth.type;frame.len;frame.time;tcp.flags;tcp.dstport;tcp.srcport;udp.dstport;udp.srcport;tcp.analysis.lost_segment
;;;0x0806;42;Jul 21, 2013 16:41:44.843835000;;;;;;
;;;0x0806;42;Jul 21, 2013 16:41:44.844420000;;;;;;
;;;0x0806;42;Jul 21, 2013 16:41:49.287511000;;;;;;
192.168.0.1;239.255.0.1;17;0x0800;211;Jul 21, 2013 16:41:50.295296000;;;;9303;6314;
192.168.0.195;192.168.20.21;17;0x0800;120;Jul 21, 2013 16:41:50.383056000;;;;161;53139;
;;;0x8863;60;Jul 21, 2013 16:41:50.888128000;;;;;;
192.168.0.195;129.132.148.136;6;0x0800;66;Jul 21, 2013 16:41:54.561364000;0x0002;80;51070;;;
129.132.148.136;192.168.0.195;6;0x0800;66;Jul 21, 2013 16:41:54.618046000;0x0012;51070;80;;;
192.168.0.195;129.132.148.136;6;0x0800;54;Jul 21, 2013 16:41:54.618141000;0x0010;80;51070;;;
192.168.0.195;129.132.148.136;6;0x0800;573;Jul 21, 2013 16:41:54.618451000;0x0018;80;51070;;;
129.132.148.136;192.168.0.195;6;0x0800;54;Jul 21, 2013 16:41:54.682902000;0x0010;51070;80;;;
129.132.148.136;192.168.0.195;6;0x0800;244;Jul 21, 2013 16:41:54.691935000;0x0018;51070;80;;;
192.168.0.195;129.132.148.136;6;0x0800;54;Jul 21, 2013 16:41:54.714262000;0x0010;80;51070;;;
192.168.0.195;192.168.0.1;17;0x0800;77;Jul 21, 2013 16:41:56.662221000;;;;53;55864;
192.168.0.1;192.168.0.195;17;0x0800;116;Jul 21, 2013 16:41:56.734038000;;;;55864;53;
192.168.0.195;8.8.178.110;6;0x0800;66;Jul 21, 2013 16:41:56.735806000;0x0002;80;51071;;;
192.168.0.195;8.8.178.110;6;0x0800;66;Jul 21, 2013 16:41:56.736305000;0x0002;80;51072;;;
192.168.0.195;8.8.178.110;6;0x0800;66;Jul 21, 2013 16:41:56.914520000;0x0002;80;51073;;;
8.8.178.110;192.168.0.195;6;0x0800;66;Jul 21, 2013 16:41:56.937941000;0x0012;51071;80;;;
192.168.0.195;8.8.178.110;6;0x0800;54;Jul 21, 2013 16:41:56.938109000;0x0010;80;51071;;;
192.168.0.195;8.8.178.110;6;0x0800;570;Jul 21, 2013 16:41:56.938640000;0x0018;80;51071;;;
8.8.178.110;192.168.0.195;6;0x0800;66;Jul 21, 2013 16:41:56.940670000;0x0012;51072;80;;;
192.168.0.195;8.8.178.110;6;0x0800;54;Jul 21, 2013 16:41:56.940813000;0x0010;80;51072;;;
8.8.178.110;192.168.0.195;6;0x0800;66;Jul 21, 2013 16:41:57.116907000;0x0012;51073;80;;;
192.168.0.195;8.8.178.110;6;0x0800;54;Jul 21, 2013 16:41:57.117116000;0x0010;80;51073;;;
8.8.178.110;192.168.0.195;6;0x0800;384;Jul 21, 2013 16:41:57.151889000;0x0018;51071;80;;;
192.168.0.195;8.8.178.110;6;0x0800;54;Jul 21, 2013 16:41:57.206922000;0x0010;80;51071;;;
;;;0x8863;60;Jul 21, 2013 16:41:57.691916000;;;;;;
192.168.0.195;8.8.178.110;6;0x0800;542;Jul 21, 2013 16:41:58.529607000;0x0018;80;51071;;;
