ip.src;ip.dst;ip.proto;eth.type;frame.len;frame.time;tcp.flags;tcp.dstport;tcp.srcport;udp.dstport;udp.srcport;tcp.analysis.lost_segment
;;;;54;Mar  1, 1999 14:00:02.341221000;;;;;;
;;;;54;Mar  1, 1999 14:00:03.341793000;;;;;;
;;;;54;Mar  1, 1999 14:00:04.342696000;;;;;;
;;;;54;Mar  1, 1999 14:00:05.342939000;;;;;;
;;;;324;Mar  1, 1999 14:00:05.928548000;;;;;;
192.168.1.1;224.0.0.9;17;0x0800;66;Mar  1, 1999 14:00:06.794673000;;;;520;520;
;;;0x9000;60;Mar  1, 1999 14:00:07.274142000;;;;;;
172.16.112.10;192.168.1.10;17;0x0800;90;Mar  1, 1999 14:00:07.618500000;;;;123;123;
192.168.1.10;172.16.112.10;17;0x0800;90;Mar  1, 1999 14:00:07.619654000;;;;123;123;
;;;;54;Mar  1, 1999 14:00:08.341589000;;;;;;
;;;;54;Mar  1, 1999 14:00:09.342743000;;;;;;
;;;;54;Mar  1, 1999 14:00:10.342103000;;;;;;
;;;;54;Mar  1, 1999 14:00:11.341773000;;;;;;
;;;;54;Mar  1, 1999 14:00:12.341597000;;;;;;
;;;;54;Mar  1, 1999 14:00:13.341635000;;;;;;
;;;;54;Mar  1, 1999 14:00:14.342362000;;;;;;
;;;;54;Mar  1, 1999 14:00:15.342222000;;;;;;
;;;;54;Mar  1, 1999 14:00:16.342945000;;;;;;
;;;0x9000;60;Mar  1, 1999 14:00:17.273921000;;;;;;
;;;;54;Mar  1, 1999 14:00:17.842829000;;;;;;
;;;;54;Mar  1, 1999 14:00:18.843650000;;;;;;
;;;;54;Mar  1, 1999 14:00:19.842550000;;;;;;
;;;;54;Mar  1, 1999 14:00:20.841751000;;;;;;
;;;;54;Mar  1, 1999 14:00:21.842617000;;;;;;
;;;;54;Mar  1, 1999 14:00:22.842220000;;;;;;
;;;;54;Mar  1, 1999 14:00:23.842340000;;;;;;
;;;;54;Mar  1, 1999 14:00:24.843206000;;;;;;
;;;;54;Mar  1, 1999 14:00:25.842531000;;;;;;
;;;;54;Mar  1, 1999 14:00:26.842606000;;;;;;
;;;0x9000;60;Mar  1, 1999 14:00:27.273698000;;;;;;
192.168.1.90;192.168.1.10;17;0x0800;90;Mar  1, 1999 14:00:28.060822000;;;;123;123;
192.168.1.10;192.168.1.90;17;0x0800;90;Mar  1, 1999 14:00:28.062444000;;;;123;123;
;;;;54;Mar  1, 1999 14:00:28.842676000;;;;;;
;;;;54;Mar  1, 1999 14:00:29.842945000;;;;;;
;;;;54;Mar  1, 1999 14:00:30.842758000;;;;;;
;;;;54;Mar  1, 1999 14:00:31.842837000;;;;;;
;;;;54;Mar  1, 1999 14:00:32.842112000;;;;;;
;;;;54;Mar  1, 1999 14:00:33.842080000;;;;;;
;;;;54;Mar  1, 1999 14:00:34.841881000;;;;;;
192.168.1.1;224.0.0.9;17;0x0800;66;Mar  1, 1999 14:00:35.426752000;;;;520;520;
;;;;54;Mar  1, 1999 14:00:36.343167000;;;;;;
;;;;54;Mar  1, 1999 14:00:37.342194000;;;;;;
;;;0x9000;60;Mar  1, 1999 14:00:37.517942000;;;;;;
192.168.1.10;172.16.112.10;17;0x0800;90;Mar  1, 1999 14:00:38.736780000;;;;123;123;
;;;;54;Mar  1, 1999 14:00:39.342265000;;;;;;
192.168.1.10;172.16.112.20;17;0x0800;80;Mar  1, 1999 14:00:39.625155000;;;;53;53;
172.16.112.20;192.168.1.10;17;0x0800;145;Mar  1, 1999 14:00:39.628786000;;;;53;53;
196.37.75.158;172.16.113.105;6;0x0800;60;Mar  1, 1999 14:00:39.631363000;0x0002;79;1024;;;
172.16.113.105;196.37.75.158;6;0x0800;60;Mar  1, 1999 14:00:39.636038000;0x0012;1024;79;;;
196.37.75.158;172.16.113.105;6;0x0800;60;Mar  1, 1999 14:00:39.636238000;0x0010;79;1024;;;
196.37.75.158;172.16.113.105;6;0x0800;60;Mar  1, 1999 14:00:39.636784000;0x0018;79;1024;;;
172.16.113.105;196.37.75.158;6;0x0800;60;Mar  1, 1999 14:00:39.648472000;0x0010;1024;79;;;
196.37.75.158;172.16.113.105;6;0x0800;60;Mar  1, 1999 14:00:39.648615000;0x0018;79;1024;;;
172.16.113.105;196.37.75.158;6;0x0800;60;Mar  1, 1999 14:00:39.668371000;0x0010;1024;79;;;
172.16.113.105;196.37.75.158;6;0x0800;329;Mar  1, 1999 14:00:40.152445000;0x0018;1024;79;;;
172.16.113.105;196.37.75.158;6;0x0800;60;Mar  1, 1999 14:00:40.152590000;0x0011;1024;79;;;
